1.314130	1.811789	ZAPAL
2.218081	2.835619	SWIATLO
3.203679	3.512124	W
4.027926	4.437458	KUCHNI
5.523495	6.096321	OTWORZ
6.295903	6.772826	DRZWI
7.407860	7.762960	DO
8.063629	8.633863	GARAZU
9.574749	10.178679	WLACZ
10.611538	11.422826	ZMYWARKE
12.283361	12.996154	WYLACZ
13.353846	14.043311	TELEWIZOR
15.041221	15.585535	PODNIES
15.922492	16.619732	ROLETY
17.000753	17.348077	W
17.672074	18.379682	SYPIALNI
19.457943	20.238127	ZAMKNIJ
20.463629	20.976839	BRAME
22.093980	22.653846	ZWIEKSZ
22.786037	23.610284	OGRZEWANIE
24.066472	24.356773	O
24.610786	25.160284	JEDEN
25.525753	26.101171	STOPIEN
27.106856	27.822241	ZAKREC
28.133278	28.667224	WODE
29.253010	29.646990	W
29.989130	30.572324	LAZIENCE
31.702425	32.293395	USTAW
32.480017	33.006187	ALARM
33.877090	34.532860	PRZYCISZ
34.807609	35.276756	RADIO
36.515719	37.013378	ZMIEN
37.189632	37.705435	KANAL
38.877007	39.346154	PODLEJ
39.543144	40.204097	KWIATKI
41.103512	41.738545	ZAPARZ
41.974415	42.425418	KAWE
43.485535	44.172408	WYLACZ
44.377174	44.890385	ALARM
45.188462	45.543562	W
45.991973	46.528512	GARAZU
47.440886	48.081104	ZAGOTUJ
48.246990	48.656522	WODE
