1.215000	1.914000	ZAPAL
2.218000	3.028000	SWIATLO
3.350000	3.690000	W
3.690000	4.253000	KUCHNI
5.219000	5.882000	OTWORZ
6.250000	6.683000	DRZWI
7.060000	7.392000	DO
7.990000	8.561000	GARAZU
9.583000	10.154000	WLACZ
10.365000	11.397000	ZMYWARKE
12.290000	13.044000	WYLACZ
13.173000	13.919000	TELEWIZOR
15.024000	15.723000	PODNIES
15.861000	16.653000	ROLETY
17.206000	17.555000	W
17.979000	18.771000	SYPIALNI
19.654000	20.391000	ZAMKNIJ
20.750000	21.311000	BRAME
22.131000	22.941000	ZWIEKSZ
23.070000	24.009000	OGRZEWANIE
24.267000	24.487000	O
24.800000	25.353000	JEDEN
25.436000	26.043000	STOPIEN
26.725000	27.581000	ZAKREC
27.746000	28.372000	WODE
29.017000	29.238000	W
29.652000	30.416000	LAZIENCE
31.226000	31.687000	USTAW
32.156000	32.626000	ALARM
33.215000	33.822000	PRZYCISZ
34.255000	34.798000	RADIO
35.765000	36.262000	ZMIEN
36.612000	37.164000	KANAL
38.020000	38.628000	PODLEJ
38.812000	39.420000	KWIATKI
40.257000	40.948000	ZAPARZ
41.141000	41.620000	KAWE
42.347000	43.065000	WYLACZ
43.397000	43.921000	ALARM
44.547000	44.833000	W
45.155000	45.781000	GARAZU
46.738000	47.438000	ZAGOTUJ
47.631000	48.129000	WODE
